speed,con,pres,time,visc
20,5,14.7,1,15.70034551
20,5,1500,1,22.80922435
20,5,14.7,24,7.439611631
20,5,1500,24,6.242392379
40,5,14.7,1,9.269700271
40,5,1500,1,12.8754012
40,5,14.7,24,6.07818978
40,5,1500,24,3.889907401
60,5,14.7,1,6.84585393
60,5,1500,1,9.214790836
60,5,14.7,24,5.315735938
60,5,1500,24,2.954578824
80,5,14.7,1,5.533863403
80,5,1500,1,7.267934824
80,5,14.7,24,4.788232774
80,5,1500,24,2.432591062
100,5,14.7,1,4.698153214
100,5,1500,1,6.045890307
100,5,14.7,24,4.386181901
100,5,1500,24,2.092982754
20,10,14.7,1,36.73572188
20,10,1500,1,10.19227555
20,10,14.7,24,34.03580793
20,10,1500,24,18.44585676
40,10,14.7,1,20.77775856
40,10,1500,1,7.354145129
40,10,14.7,24,18.27040148
40,10,1500,24,7.70195607
60,10,14.7,1,14.99607492
60,10,1500,1,5.662296257
60,10,14.7,24,12.6976341
60,10,1500,24,4.620894474
80,10,14.7,1,11.93583485
80,10,1500,1,4.290767177
80,10,14.7,24,9.808736997
80,10,1500,24,3.215905235
100,10,14.7,1,10.01650334
100,10,1500,1,3.056663453
100,10,14.7,24,8.028979188
100,10,1500,24,2.427708989
20,15,14.7,1,11.88176381
20,15,14.7,24,51.58779536
20,15,1500,24,27.3584439
40,15,14.7,1,7.955607292
40,15,14.7,24,26.44110593
40,15,1500,24,18.95847796
60,15,14.7,1,6.312010579
60,15,14.7,24,17.91868468
60,15,1500,24,15.37167236
80,15,14.7,1,5.363970677
80,15,14.7,24,13.60783625
80,15,1500,24,13.27550726
100,15,14.7,1,4.731736364
100,15,14.7,24,10.99759554
100,15,1500,24,11.86351452
